Area,CancerType,Year,AgeAdjustedRate,CaseCount,Population
'United States','Melanomas of the Skin','1999','15.2','40809','272809488'
'United States','Melanomas of the Skin','2000','16.1','44121','275879626'
'United States','Melanomas of the Skin','2001','17.1','47980','282115961'
'United States','Melanomas of the Skin','2002','17.4','49803','284766512'
'United States','Melanomas of the Skin','2003','17.2','50339','290107933'
'United States','Melanomas of the Skin','2004','18.2','54148','292805298'
'United States','Melanomas of the Skin','2005','19.4','58752','295516599'
'United States','Melanomas of the Skin','2006','19.2','59113','298379912'
'United States','Melanomas of the Skin','2007','19.7','61598','301231207'
'United States','Melanomas of the Skin','2008','20','63664','304093966'
'United States','Melanomas of the Skin','2009','20.4','65987','306771529'
'United States','Melanomas of the Skin','2010','20','66172','309326085'
'United States','Melanomas of the Skin','2011','20.6','69381','311580009'
'United States','Melanomas of the Skin','2012','20.7','70947','313874218'
'United States','Melanomas of the Skin','2013','21.3','74500','316057727'
'United States','Melanomas of the Skin','2014','22.1','78999','318386421'
'United States','Melanomas of the Skin','2015','22.8','82761','320742673'
'United States','Melanomas of the Skin','2016','22.7','84186','323071342'
'United States','Melanomas of the Skin','2017','22.7','85686','325147121'
